Torbjørn Heggem
Đorđe Petrović
Mike Trésor Ndayishimiye
Albert-Mboyo Sambi Lokonga
Edward Nketiah
João Manuel Neves Virginia
Calvin Bassey
Brandon Austin
Oliver Skipp
Kiernan Dewsbury-Hall
Robert Lynch Sanchez
Jayson Molumby
Thomas McGill
William Smallbone
Michael Obafemi
Nathan Broadhead
Antonee Robinson
Dara O'Shea
Jayden Bogle
Benjamin Johnson
Omar Richards
Reece James
Daniel Iversen
Tyrese Campbell
Jorge Cuenca Barreno
Jhon Adolfo Arias Andrade
Darko Churlinov
Dominik Szoboszlai
Manuel Ugarte Ribeiro
Caoimhin Kelleher
Tahith Chong
Thomas Holmes
Nathaniel Phillips
Emile Smith Rowe
Joseph Willock
Jamal Lewis
Elijah Adebayo
Matthew O'Riley
João Pedro Ferreira Silva
Sasa Kalajdzic
Jaka Bijol
Matheus Santos Carneiro Da Cunha
Tyrell Malacia
Anton Stach
Lisandro Martínez
Shandon Baptiste
Hamed Junior Traorè
Luke Woolfenden
Sandro Tonali
Ayotomiwa Dele-Bashiru
Ian Carlo Poveda-Ocampo
Ajibola Alese
Callum Hudson-Odoi
Tijjani Reijnders
Nathan Wood-Gordon
Ilia Gruev
Louis Jordan Beyer
Harrison Burrows
Imran Louza
Lyle Foster
Marc Guehi
James Garner
Noah Okafor
Sebastiaan Bornauw
Benoît Badiashile Mukinayi
Curtis Jones
Rhys Williams
Bryan Gil Salvatierra
Brenden Aaronson
Morgan Rogers
Tyrick Mitchell
Dwight McNeil
Lutsharel Geertruida
Anthony Patterson
Dilane Bakwa
Ryan Gravenberch
Jurriën Maduro
Sven Botman
Fabio Daniel Ferreira Vieira
Mohammed Kudus
Joshua Sargent
Cheick Oumar Doucoure
Maxence Lacroix
Wilson Isidor
Yukinari Sugawara
Jeremy Ngakia
Darwin Gabriel Núñez Ribeiro
Harrison Clarke
Djed Spence
Enzo Le Fée
Brian Brobbey
Etienne Green
Vladan Kovačević
Rhys Norrington-Davies
Edmond-Paris Maghoma
Jeremie Frimpong
Jakub Piotr Kiwior
Mikkel Damsgaard
Pedro Antonio Porro Sauceda
Tariq Lamptey
Joshua Zirkzee
Thomas Doyle
Vítězslav Jaroš
Anthony Gordon
Mykhailo Mudryk
Shurandy Sambo
Crysencio Summerville
Edo Kayembe
Luke Thomas
Jack Clarke
Gabriel Teodoro Martinelli Silva
Antoine Semenyo
Francisco Evanilson de Lima Barbosa
Wesley Fofana
Sepp van den Berg
Nathan Michael Collins
Jacob Ramsey
Neco Williams
Antony Matheus dos Santos
Daniel Ballard
Rayan Aït Nouri
Jakub Stolarczyk
Largie Ramazani
Daniel Barden
Amine Adli
Dejan Kulusevski
Giorgi Mamardashvili
Samuel Chimerenka Chukwueze
Bukayo Saka
Gavin Bazunu
Aune Selland Heggebø
George Campbell
William Saliba
Chris Richards
Dan Ndoye
David Mota Veiga Teixeira Carmo
Ousmane Diakite
Jamie Shackleton
Mathis Ryan Cherki
Fabio Carvalho
Kaoru Mitoma
Malick Thiaw
Joe Gelhardt
Norberto Bercique Gomes Betuncal
Matheus Luiz Nunes
Evann Guessand
Georginio Rutter
Jesper Lindstrøm
Mark Travers
James Hill
Joshua Griffiths
Bafodé Diakité
Amadou Zeund Georges Mvom Onana
Karl Jakob Hein
Sam McCallum
Julian Araujo
Timothee Pembele
Arnaud Kalimuendo Muinga
Ki-Jana Hoever
Maxim De Cuyper
Senne Lammens
Fábio Daniel Soares Silva
Nicolás González Iglesias
Harvey Elliot
Taylor Harwood-Bellis
Riccardo Calafiori
Ian Maatsen
Iliman Ndiaye
Daniel Neill
Armando Broja
Dennis Cirkin
Krisztián Hegyi
Jeremy Doku
Filip Jörgensen
Radu Drăgușin
Mads Hermansen
Matthew Pollock
Luke Cundle
Illia Zabarnyi
Chem Campbell
Mats Wieffer
Joe Gauci
Yeremi Jesús Pino Santos
Alexander Paulsen
Teden Mengi
Valentino Livramento
Trai Hume
Lucas Bergström
Benjamin Šeško
Jan Paul van Hecke
José Angel Cordoba Chambers
Joško Gvardiol
Josh Wilson-Esbrand
Chukwunonso Madueke
Leif Davis
Brennan Johnson
Louie Moulden
Femi Seriki
Armel Bella-Kotchap
Kevin Schade
Boubacar Traore
Aaron Hickey
Pierre Ekwah Elimby
Memeh Caleb Okoli
Adrien Truffert
Keane Lewis-Potter
Joseph Anderson
Harry Tyrer
James Mcatee
James Trafford
James Morris
Tony Springett
Kasey McAteer
Ali Al-Hamadi
Sam Greenwood
Mark McGuinness
Nathan Butler-Oyedeji
Hubert Graczyk
Cieran Slicker
Joseph Hodge
Cole Palmer
Aaron Ramsey
Cameron Archer
Dermot Mee
Anthony Elanga
Lewis Norman Dobbin
Liam Delap
Joe White
Tom Fellows
João Pedro Junqueira de Jesus
Tote António Gomes
Carlos Miguel dos Santos Pereira
Igor Jesus Maciel da Cruz
Julio César Enciso
Enzo Jeremías Fernández
Jhon Jáder Durán Palacio
Issa Kabore
Toby Collyer
Myles Peart-Harris
Harrison Ashby
Carney Chukwuemeka
Jarrad Branthwaite
Nick Woltemade
Iyenoma Destiny Udogie
Tyler Onyango
Darko Gyabi
